303D          ; Grapheme_Base
303E..303F    ; Grapheme_Base
3041..3096    ; Grapheme_Base
309B..309C    ; Grapheme_Base
309D..309E    ; Grapheme_Base
309F          ; Grapheme_Base
30A0          ; Grapheme_Base
30A1..30FA    ; Grapheme_Base
30FB          ; Grapheme_Base
30FC..30FE    ; Grapheme_Base
30FF          ; Grapheme_Base
3105..312C    ; Grapheme_Base
3131..318E    ; Grapheme_Base
3190..3191    ; Grapheme_Base
3192..3195    ; Grapheme_Base
3196..319F    ; Grapheme_Base
31A0..31B7    ; Grapheme_Base
31F0..31FF    ; Grapheme_Base
3200..321E    ; Grapheme_Base
3220..3229    ; Grapheme_Base
322A..3243    ; Grapheme_Base
3250          ; Grapheme_Base
3251..325F    ; Grapheme_Base
3260..327D    ; Grapheme_Base
327F          ; Grapheme_Base
3280..3289    ; Grapheme_Base
328A..32B0    ; Grapheme_Base
32B1..32BF    ; Grapheme_Base
32C0..32FE    ; Grapheme_Base
3300..33FF    ; Grapheme_Base
3400..4DB5    ; Grapheme_Base
4DC0..4DFF    ; Grapheme_Base
4E00..9FA5    ; Grapheme_Base
A000..A48C    ; Grapheme_Base
A490..A4C6    ; Grapheme_Base
AC00..D7A3    ; Grapheme_Base
F900..FA2D    ; Grapheme_Base
FA30..FA6A    ; Grapheme_Base
FB00..FB06    ; Grapheme_Base
FB13..FB17    ; Grapheme_Base
FB1D          ; Grapheme_Base
FB1F..FB28    ; Grapheme_Base
FB29          ; Grapheme_Base
FB2A..FB36    ; Grapheme_Base
FB38..FB3C    ; Grapheme_Base
FB3E          ; Grapheme_Base
FB40..FB41    ; Grapheme_Base
FB43..FB44    ; Grapheme_Base
FB46..FBB1    ; Grapheme_Base
FBD3..FD3D    ; Grapheme_Base
FD3E          ; Grapheme_Base
FD3F          ; Grapheme_Base
FD50..FD8F    ; Grapheme_Base
FD92..FDC7    ; Grapheme_Base
FDF0..FDFB    ; Grapheme_Base
FDFC          ; Grapheme_Base
FDFD          ; Grapheme_Base
FE30          ; Grapheme_Base
FE31..FE32    ; Grapheme_Base
FE33..FE34    ; Grapheme_Base
FE35          ; Grapheme_Base
FE36          ; Grapheme_Base
FE37          ; Grapheme_Base
FE38          ; Grapheme_Base
FE39          ; Grapheme_Base
FE3A          ; Grapheme_Base
FE3B          ; Grapheme_Base
FE3C          ; Grapheme_Base
FE3D          ; Grapheme_Base
FE3E          ; Grapheme_Base
FE3F          ; Grapheme_Base
FE40          ; Grapheme_Base
FE41          ; Grapheme_Base
FE42          ; Grapheme_Base
FE43          ; Grapheme_Base
FE44          ; Grapheme_Base
FE45..FE46    ; Grapheme_Base
FE47          ; Grapheme_Base
FE48          ; Grapheme_Base
FE49..FE4C    ; Grapheme_Base
FE4D..FE4F    ; Grapheme_Base
FE50..FE52    ; Grapheme_Base
FE54..FE57    ; Grapheme_Base
FE58          ; Grapheme_Base
FE59          ; Grapheme_Base
FE5A          ; Grapheme_Base
FE5B          ; Grapheme_Base
FE5C          ; Grapheme_Base
FE5D          ; Grapheme_Base
FE5E          ; Grapheme_Base
FE5F..FE61    ; Grapheme_Base
FE62          ; Grapheme_Base
FE63          ; Grapheme_Base
FE64..FE66    ; Grapheme_Base
FE68          ; Grapheme_Base
FE69          ; Grapheme_Base
FE6A..FE6B    ; Grapheme_Base
FE70..FE74    ; Grapheme_Base
FE76..FEFC    ; Grapheme_Base
FF01..FF03    ; Grapheme_Base
FF04          ; Grapheme_Base
FF05..FF07    ; Grapheme_Base
FF08          ; Grapheme_Base
FF09          ; Grapheme_Base
FF0A          ; Grapheme_Base
FF0B          ; Grapheme_Base
FF0C          ; Grapheme_Base
FF0D          ; Grapheme_Base
FF0E..FF0F    ; Grapheme_Base
FF10..FF19    ; Grapheme_Base
FF1A..FF1B    ; Grapheme_Base
FF1C..FF1E    ; Grapheme_Base
FF1F..FF20    ; Grapheme_Base
FF21..FF3A    ; Grapheme_Base
FF3B          ; Grapheme_Base
FF3C          ; Grapheme_Base
FF3D          ; Grapheme_Base
FF3E          ; Grapheme_Base
FF3F          ; Grapheme_Base
FF40          ; Grapheme_Base
FF41..FF5A    ; Grapheme_Base
FF5B          ; Grapheme_Base
FF5C          ; Grapheme_Base
FF5D          ; Grapheme_Base
FF5E          ; Grapheme_Base
FF5F          ; Grapheme_Base
FF60          ; Grapheme_Base
FF61          ; Grapheme_Base
FF62          ; Grapheme_Base
FF63          ; Grapheme_Base
FF64          ; Grapheme_Base
FF65          ; Grapheme_Base
FF66..FF6F    ; Grapheme_Base
FF70          ; Grapheme_Base
FF71..FF9D    ; Grapheme_Base
FF9E..FF9F    ; Grapheme_Base
FFA0..FFBE    ; Grapheme_Base
FFC2..FFC7    ; Grapheme_Base
FFCA..FFCF    ; Grapheme_Base
FFD2..FFD7    ; Grapheme_Base
FFDA..FFDC    ; Grapheme_Base
FFE0..FFE1    ; Grapheme_Base
FFE2          ; Grapheme_Base
FFE3          ; Grapheme_Base
FFE4          ; Grapheme_Base
FFE5..FFE6    ; Grapheme_Base
FFE8          ; Grapheme_Base
FFE9..FFEC    ; Grapheme_Base
FFED..FFEE    ; Grapheme_Base
FFFC..FFFD    ; Grapheme_Base
10000..1000B  ; Grapheme_Base
1000D..10026  ; Grapheme_Base
10028..1003A  ; Grapheme_Base
1003C..1003D  ; Grapheme_Base
1003F..1004D  ; Grapheme_Base
10050..1005D  ; Grapheme_Base
